,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,25.4205653435743,25.4205653435743,0,NaN,NaN,NaN,0,60,
,A02,SYBR,,Unkn,,,23.7008559024658,23.7008559024658,0,NaN,NaN,NaN,0,60,
,A03,SYBR,,Unkn,,,20.0761845887067,20.0761845887067,0,NaN,NaN,NaN,0,60,
,A04,SYBR,,Unkn,,,31.0975302487371,31.0975302487371,0,NaN,NaN,NaN,0,60,
,A05,SYBR,,Unkn,,,27.4211098394211,27.4211098394211,0,NaN,NaN,NaN,0,60,
,A06,SYBR,,Unkn,,,27.9287978413787,27.9287978413787,0,NaN,NaN,NaN,0,60,
,A07,SYBR,,Unkn,,,28.4078841950555,28.4078841950555,0,NaN,NaN,NaN,0,60,
,A08,SYBR,,Unkn,,,28.2371821684611,28.2371821684611,0,NaN,NaN,NaN,0,60,
,A09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A10,SYBR,,Unkn,,,33.5083906492694,33.5083906492694,0,NaN,NaN,NaN,0,60,
,A11,SYBR,,Unkn,,,39.9591132467043,39.9591132467043,0,NaN,NaN,NaN,0,60,
,A12,SYBR,,Unkn,,,37.8093789864027,37.8093789864027,0,NaN,NaN,NaN,0,60,
,B01,SYBR,,Unkn,,,27.0915376524956,27.0915376524956,0,NaN,NaN,NaN,0,60,
,B02,SYBR,,Unkn,,,34.1868894201618,34.1868894201618,0,NaN,NaN,NaN,0,60,
,B03,SYBR,,Unkn,,,22.4396339801785,22.4396339801785,0,NaN,NaN,NaN,0,60,
,B04,SYBR,,Unkn,,,30.420068674116,30.420068674116,0,NaN,NaN,NaN,0,60,
,B05,SYBR,,Unkn,,,33.5310449067341,33.5310449067341,0,NaN,NaN,NaN,0,60,
,B06,SYBR,,Unkn,,,37.5069081305189,37.5069081305189,0,NaN,NaN,NaN,0,60,
,B07,SYBR,,Unkn,,,27.0057519433872,27.0057519433872,0,NaN,NaN,NaN,0,60,
,B08,SYBR,,Unkn,,,32.5296653156368,32.5296653156368,0,NaN,NaN,NaN,0,60,
,B09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B10,SYBR,,Unkn,,,34.2314049793079,34.2314049793079,0,NaN,NaN,NaN,0,60,
,B11,SYBR,,Unkn,,,26.6519499725471,26.6519499725471,0,NaN,NaN,NaN,0,60,
,B12,SYBR,,Unkn,,,27.1752737775995,27.1752737775995,0,NaN,NaN,NaN,0,60,
,C01,SYBR,,Unkn,,,25.170778175455,25.170778175455,0,NaN,NaN,NaN,0,60,
,C02,SYBR,,Unkn,,,23.7850999420857,23.7850999420857,0,NaN,NaN,NaN,0,60,
,C03,SYBR,,Unkn,,,20.0309643564229,20.0309643564229,0,NaN,NaN,NaN,0,60,
,C04,SYBR,,Unkn,,,31.2980430816896,31.2980430816896,0,NaN,NaN,NaN,0,60,
,C05,SYBR,,Unkn,,,27.3942116314413,27.3942116314413,0,NaN,NaN,NaN,0,60,
,C06,SYBR,,Unkn,,,27.6349899648198,27.6349899648198,0,NaN,NaN,NaN,0,60,
,C07,SYBR,,Unkn,,,28.2933674989823,28.2933674989823,0,NaN,NaN,NaN,0,60,
,C08,SYBR,,Unkn,,,27.8348295660146,27.8348295660146,0,NaN,NaN,NaN,0,60,
,C09,SYBR,,Unkn,,,38.2455765973743,38.2455765973743,0,NaN,NaN,NaN,0,60,
,C10,SYBR,,Unkn,,,33.6032075384705,33.6032075384705,0,NaN,NaN,NaN,0,60,
,C11,SYBR,,Unkn,,,34.8584934005612,34.8584934005612,0,NaN,NaN,NaN,0,60,
,C12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D01,SYBR,,Unkn,,,26.7226146576486,26.7226146576486,0,NaN,NaN,NaN,0,60,
,D02,SYBR,,Unkn,,,34.2831109818597,34.2831109818597,0,NaN,NaN,NaN,0,60,
,D03,SYBR,,Unkn,,,22.4033302324127,22.4033302324127,0,NaN,NaN,NaN,0,60,
,D04,SYBR,,Unkn,,,30.1811893469633,30.1811893469633,0,NaN,NaN,NaN,0,60,
,D05,SYBR,,Unkn,,,33.9134989245648,33.9134989245648,0,NaN,NaN,NaN,0,60,
