,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,,Unkn,,25.8695846390646,NaN
,A02,FAM,,Unkn,,25.8963473051128,NaN
,A03,FAM,,Unkn,,26.3960854352226,NaN
,A04,FAM,,Unkn,,25.2860322527417,NaN
,A05,FAM,,Unkn,,24.9179529070713,NaN
,A06,FAM,,Unkn,,24.1649465104505,NaN
,A07,FAM,,Unkn,,24.2911289080765,NaN
,A08,FAM,,Unkn,,25.528860410214,NaN
,A09,FAM,,Unkn,,24.5425418137973,NaN
,A10,FAM,,Unkn,,25.1568388493145,NaN
,A11,FAM,,Unkn,,25.1205718581669,NaN
,A12,FAM,,Unkn,,25.5539590056484,NaN
,B01,FAM,,Unkn,,26.0040292651637,NaN
,B02,FAM,,Unkn,,26.1284780827598,NaN
,B03,FAM,,Unkn,,26.2625330816158,NaN
,B04,FAM,,Unkn,,25.0927049393384,NaN
,B05,FAM,,Unkn,,24.6715611892117,NaN
,B06,FAM,,Unkn,,24.1212281652649,NaN
,B07,FAM,,Unkn,,24.3333604778504,NaN
,B08,FAM,,Unkn,,25.1288586854673,NaN
,B09,FAM,,Unkn,,24.7232370361756,NaN
,B10,FAM,,Unkn,,25.0735354793085,NaN
,B11,FAM,,Unkn,,25.1303029533862,NaN
,B12,FAM,,Unkn,,25.4072262637151,NaN
,C01,FAM,,Unkn,,22.6545410221144,NaN
,C02,FAM,,Unkn,,23.234554232367,NaN
,C03,FAM,,Unkn,,24.0646153747739,NaN
,C04,FAM,,Unkn,,22.541869417845,NaN
,C05,FAM,,Unkn,,21.6960192535292,NaN
,C06,FAM,,Unkn,,20.8061395517114,NaN
,C07,FAM,,Unkn,,20.4203347164869,NaN
,C08,FAM,,Unkn,,21.8841954743316,NaN
,C09,FAM,,Unkn,,21.4000294793933,NaN
,C10,FAM,,Unkn,,22.6387355691597,NaN
,C11,FAM,,Unkn,,22.4626006868075,NaN
,C12,FAM,,Unkn,,22.0652537144523,NaN
,D01,FAM,,Unkn,,22.6938414938455,NaN
,D02,FAM,,Unkn,,23.1839494496202,NaN
,D03,FAM,,Unkn,,24.2971854480444,NaN
,D04,FAM,,Unkn,,22.1732733911042,NaN
,D05,FAM,,Unkn,,21.7126650798972,NaN
,D06,FAM,,Unkn,,20.52239423724,NaN
,D07,FAM,,Unkn,,20.2803026227389,NaN
,D08,FAM,,Unkn,,21.8274655243855,NaN
,D09,FAM,,Unkn,,21.3032729508621,NaN
,D10,FAM,,Unkn,,22.3399195789811,NaN
,D11,FAM,,Unkn,,22.2147005475834,NaN
,D12,FAM,,Unkn,,22.3479162563092,NaN
,E01,FAM,,Unkn,,NaN,NaN
,E02,FAM,,Unkn,,NaN,NaN
,E03,FAM,,Unkn,,34.0236952681064,NaN
,E04,FAM,,Unkn,,26.8456583776896,NaN
,E05,FAM,,Unkn,,26.6344555910131,NaN
,E06,FAM,,Unkn,,25.8769548085445,NaN
,E07,FAM,,Unkn,,32.1590078568861,NaN
,E08,FAM,,Unkn,,35.7923807333631,NaN
,E09,FAM,,Unkn,,31.1899359101148,NaN
,E10,FAM,,Unkn,,31.2972188750266,NaN
,E11,FAM,,Unkn,,30.6349535876187,NaN
,E12,FAM,,Unkn,,30.3153800590735,NaN
,F01,FAM,,Unkn,,NaN,NaN
,F02,FAM,,Unkn,,NaN,NaN
,F03,FAM,,Unkn,,33.513169265995,NaN
,F04,FAM,,Unkn,,27.0428323501732,NaN
,F05,FAM,,Unkn,,26.7137987828113,NaN
,F06,FAM,,Unkn,,25.9640626887512,NaN
,F07,FAM,,Unkn,,32.4777688970107,NaN
,F08,FAM,,Unkn,,34.7973908674665,NaN
,F09,FAM,,Unkn,,31.2499370796067,NaN
,F10,FAM,,Unkn,,31.1782039991644,NaN
,F11,FAM,,Unkn,,30.4244650950106,NaN
,F12,FAM,,Unkn,,30.6752765934054,NaN
,G01,FAM,,Unkn,,35.5596613238909,NaN
,G02,FAM,,Unkn,,36.9687043373889,NaN
,G03,FAM,,Unkn,,35.4222638108259,NaN
,G04,FAM,,Unkn,,32.3385265462948,NaN
,G05,FAM,,Unkn,,32.4610866555945,NaN
,G06,FAM,,Unkn,,31.2427450618205,NaN
,G07,FAM,,Unkn,,31.1087207668794,NaN
,G08,FAM,,Unkn,,32.4865734700412,NaN
,G09,FAM,,Unkn,,30.9777369207534,NaN
,G10,FAM,,Unkn,,32.61239340534,NaN
,G11,FAM,,Unkn,,32.1662943061047,NaN
,G12,FAM,,Unkn,,33.2931234455938,NaN
,H01,FAM,,Unkn,,34.8952063793007,NaN
,H02,FAM,,Unkn,,36.2141202195791,NaN
,H03,FAM,,Unkn,,33.3923250764586,NaN
,H04,FAM,,Unkn,,32.6959291338777,NaN
,H05,FAM,,Unkn,,32.0919917536466,NaN
,H06,FAM,,Unkn,,31.8148711405201,NaN
,H07,FAM,,Unkn,,31.3158809974982,NaN
,H08,FAM,,Unkn,,32.5780439133446,NaN
,H09,FAM,,Unkn,,30.9775030718158,NaN
,H10,FAM,,Unkn,,33.065233590037,NaN
,H11,FAM,,Unkn,,32.3785513823338,NaN
,H12,FAM,,Unkn,,33.6112038606751,NaN
