,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,,Unkn,,,24.3822607200462,24.3822607200462,0,NaN,NaN,NaN,0,60,
,A02,FAM,,Unkn,,,24.584709703268,24.584709703268,0,NaN,NaN,NaN,0,60,
,A03,FAM,,Unkn,,,26.4082941882926,26.4082941882926,0,NaN,NaN,NaN,0,60,
,A04,FAM,,Unkn,,,25.9356567959815,25.9356567959815,0,NaN,NaN,NaN,0,60,
,A05,FAM,,Unkn,,,25.0858251948087,25.0858251948087,0,NaN,NaN,NaN,0,60,
,A06,FAM,,Unkn,,,24.6114135523077,24.6114135523077,0,NaN,NaN,NaN,0,60,
,A07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A10,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A11,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A12,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B01,FAM,,Unkn,,,24.592861202383,24.592861202383,0,NaN,NaN,NaN,0,60,
,B02,FAM,,Unkn,,,24.6692770698429,24.6692770698429,0,NaN,NaN,NaN,0,60,
,B03,FAM,,Unkn,,,26.9527666755004,26.9527666755004,0,NaN,NaN,NaN,0,60,
,B04,FAM,,Unkn,,,25.5568948839873,25.5568948839873,0,NaN,NaN,NaN,0,60,
,B05,FAM,,Unkn,,,24.9617507874541,24.9617507874541,0,NaN,NaN,NaN,0,60,
,B06,FAM,,Unkn,,,23.9929838132496,23.9929838132496,0,NaN,NaN,NaN,0,60,
,B07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B10,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B11,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B12,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C01,FAM,,Unkn,,,22.2577243137923,22.2577243137923,0,NaN,NaN,NaN,0,60,
,C02,FAM,,Unkn,,,21.6698563451751,21.6698563451751,0,NaN,NaN,NaN,0,60,
,C03,FAM,,Unkn,,,27.3846454383593,27.3846454383593,0,NaN,NaN,NaN,0,60,
,C04,FAM,,Unkn,,,25.1720998664436,25.1720998664436,0,NaN,NaN,NaN,0,60,
,C05,FAM,,Unkn,,,24.3876308301474,24.3876308301474,0,NaN,NaN,NaN,0,60,
,C06,FAM,,Unkn,,,22.1228910289735,22.1228910289735,0,NaN,NaN,NaN,0,60,
,C07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C10,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C11,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C12,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D01,FAM,,Unkn,,,22.1256225790788,22.1256225790788,0,NaN,NaN,NaN,0,60,
,D02,FAM,,Unkn,,,21.560966137018,21.560966137018,0,NaN,NaN,NaN,0,60,
,D03,FAM,,Unkn,,,24.9779286847282,24.9779286847282,0,NaN,NaN,NaN,0,60,
,D04,FAM,,Unkn,,,23.6767405139817,23.6767405139817,0,NaN,NaN,NaN,0,60,
,D05,FAM,,Unkn,,,23.3167582077106,23.3167582077106,0,NaN,NaN,NaN,0,60,
,D06,FAM,,Unkn,,,20.9112678152061,20.9112678152061,0,NaN,NaN,NaN,0,60,
,D07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D10,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D11,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D12,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E01,FAM,,Unkn,,,33.9179248818783,33.9179248818783,0,NaN,NaN,NaN,0,60,
,E02,FAM,,Unkn,,,32.1905019209331,32.1905019209331,0,NaN,NaN,NaN,0,60,
,E03,FAM,,Unkn,,,35.7554606814239,35.7554606814239,0,NaN,NaN,NaN,0,60,
,E04,FAM,,Unkn,,,29.5712033877264,29.5712033877264,0,NaN,NaN,NaN,0,60,
,E05,FAM,,Unkn,,,28.8660538916563,28.8660538916563,0,NaN,NaN,NaN,0,60,
,E06,FAM,,Unkn,,,27.804421487611,27.804421487611,0,NaN,NaN,NaN,0,60,
,E07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E10,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
