Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"
ENSG00000149452	SLC22A8	OAT3	"Solute carrier family 22 member 8"	Q8TCC7	11	62989154-63015839	"FDA approved drug targets, Predicted membrane proteins, Transporters"	"Detoxification, Ion transport, Transport"		"FDA approved drug targets"
ENSG00000138136	LBX1	"HPX6, LBX1H"	"Ladybird homeobox 1"	P52954	10	101226195-101229794	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Myogenesis, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	
ENSG00000131095	GFAP	FLJ45472	"Glial fibrillary acidic protein"	P14136	17	44903161-44916937	"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"			"Disease mutation, Leukodystrophy"
ENSG00000164438	TLX3	"HOX11L2, RNX"	"T cell leukemia homeobox 3"	O43711	5	171309284-171312134	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"		"Developmental protein, DNA-binding"	"Cancer-related genes"
ENSG00000171532	NEUROD2	"bHLHa1, NDRF"	"Neuronal differentiation 2"	Q15784	17	39603536-39609777	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Disease mutation, Epilepsy"
ENSG00000164600	NEUROD6	"Atoh2, bHLHa2, Math-2, Nex1, NEX1M"	"Neuronal differentiation 6"	Q96NK8	7	31337461-31340894	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	
ENSG00000130287	NCAN	CSPG3	Neurocan	O14594	19	19211973-19252233	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Cell adhesion"		
ENSG00000204655	MOG	"BTN6, BTNL11"	"Myelin oligodendrocyte glycoprotein"	Q16653	6	29656981-29672372	"Disease related genes, Predicted membrane proteins"	"Cell adhesion, Host-virus interaction"	"Host cell receptor for virus entry, Receptor"	"Disease mutation"
ENSG00000121905	HPCA		Hippocalcin	P84074	1	32885994-32898441	"Disease related genes, Plasma proteins, Predicted intracellular proteins"			"Disease mutation, Dystonia"
ENSG00000101200	AVP	"ADH, ARVP"	"Arginine vasopressin"	P01185	20	3082556-3084724	"Disease related genes, Predicted secreted proteins"		"Hormone, Vasoactive, Vasoconstrictor"	"Diabetes insipidus, Disease mutation"
ENSG00000125492	BARHL1		"BarH like homeobox 1"	Q9BZE3	9	132582185-132590266	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	
ENSG00000186895	FGF3	"HBGF-3, INT2"	"Fibroblast growth factor 3"	P11487	11	69809969-69819024	"Cancer-related genes, Disease related genes, Predicted secreted proteins, RAS pathway related proteins"	Differentiation	"Developmental protein, Growth factor, Mitogen"	"Cancer-related genes, Disease mutation, Proto-oncogene"
ENSG00000197971	MBP		"Myelin basic protein"	P02686	18	76978827-77133683	"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"			"Autoimmune encephalomyelitis"
ENSG00000152595	MEPE		"Matrix extracellular phosphoglycoprotein"	Q9NQ76	4	87821411-87846817	"Predicted intracellular proteins, Predicted secreted proteins"	Biomineralization		
ENSG00000197430	OPALIN	"HTMP10, TMEM10, TMP10"	"Oligodendrocytic myelin paranodal and inner loop protein"	Q96PE5	10	96343216-96359365	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000235718	MFRP	"C1QTNF5, FLJ30570, NNO2, rd6"	"Membrane frizzled-related protein"	Q9BY79	11	119338942-119346673	"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"			"Disease mutation, Microphthalmia, Retinitis pigmentosa"
ENSG00000126861	OMG	OMGP	"Oligodendrocyte myelin glycoprotein"	P23515	17	31272013-31297539	"Plasma proteins, Predicted intracellular proteins"	"Cell adhesion"		
