Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"
ENSG00000131095	GFAP	FLJ45472	"Glial fibrillary acidic protein"	P14136	17	44903161-44916937	"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"			"Disease mutation, Leukodystrophy"
ENSG00000164438	TLX3	"HOX11L2, RNX"	"T cell leukemia homeobox 3"	O43711	5	171309284-171312134	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"		"Developmental protein, DNA-binding"	"Cancer-related genes"
ENSG00000171532	NEUROD2	"bHLHa1, NDRF"	"Neuronal differentiation 2"	Q15784	17	39603536-39609777	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Disease mutation, Epilepsy"
ENSG00000164600	NEUROD6	"Atoh2, bHLHa2, Math-2, Nex1, NEX1M"	"Neuronal differentiation 6"	Q96NK8	7	31337461-31340894	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	
ENSG00000130287	NCAN	CSPG3	Neurocan	O14594	19	19211973-19252233	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Cell adhesion"		
ENSG00000204655	MOG	"BTN6, BTNL11"	"Myelin oligodendrocyte glycoprotein"	Q16653	6	29656981-29672372	"Disease related genes, Predicted membrane proteins"	"Cell adhesion, Host-virus interaction"	"Host cell receptor for virus entry, Receptor"	"Disease mutation"
ENSG00000121905	HPCA		Hippocalcin	P84074	1	32885994-32898441	"Disease related genes, Plasma proteins, Predicted intracellular proteins"			"Disease mutation, Dystonia"
ENSG00000101200	AVP	"ADH, ARVP"	"Arginine vasopressin"	P01185	20	3082556-3084724	"Disease related genes, Predicted secreted proteins"		"Hormone, Vasoactive, Vasoconstrictor"	"Diabetes insipidus, Disease mutation"
ENSG00000125492	BARHL1		"BarH like homeobox 1"	Q9BZE3	9	132582185-132590266	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	
ENSG00000186895	FGF3	"HBGF-3, INT2"	"Fibroblast growth factor 3"	P11487	11	69809969-69819024	"Cancer-related genes, Disease related genes, Predicted secreted proteins, RAS pathway related proteins"	Differentiation	"Developmental protein, Growth factor, Mitogen"	"Cancer-related genes, Disease mutation, Proto-oncogene"
ENSG00000197971	MBP		"Myelin basic protein"	P02686	18	76978827-77133683	"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"			"Autoimmune encephalomyelitis"
ENSG00000152595	MEPE		"Matrix extracellular phosphoglycoprotein"	Q9NQ76	4	87821411-87846817	"Predicted intracellular proteins, Predicted secreted proteins"	Biomineralization		
ENSG00000197430	OPALIN	"HTMP10, TMEM10, TMP10"	"Oligodendrocytic myelin paranodal and inner loop protein"	Q96PE5	10	96343216-96359365	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000126861	OMG	OMGP	"Oligodendrocyte myelin glycoprotein"	P23515	17	31272013-31297539	"Plasma proteins, Predicted intracellular proteins"	"Cell adhesion"		
ENSG00000132702	HAPLN2	BRAL1	"Hyaluronan and proteoglycan link protein 2"	Q9GZV7	1	156619294-156625725	"Predicted secreted proteins"			
ENSG00000176884	GRIN1	"GluN1, NMDAR1"	"Glutamate ionotropic receptor NMDA type subunit 1"	Q05586	9	137138390-137168762	"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, RAS pathway related proteins, Transporters"	"Ion transport, Transport"	"Ion channel, Ligand-gated ion channel, Receptor"	"Disease mutation, FDA approved drug targets, Mental retardation"
ENSG00000164076	CAMKV	"MGC8407, VACAMKL"	"CaM kinase like vesicle associated"	Q8NCB2	3	49857988-49870222	"Enzymes, Predicted intracellular proteins"		Calmodulin-binding	
ENSG00000168314	MOBP		"Myelin-associated oligodendrocyte basic protein"	Q13875	3	39467198-39529479	"Predicted intracellular proteins"			
ENSG00000161610	HCRT	"OX, PPOX"	"Hypocretin neuropeptide precursor"	O43612	17	42184060-42185452	"Disease related genes, Predicted secreted proteins"		Neuropeptide	"Disease mutation"
ENSG00000213029	SPHAR		"S-phase response (cyclin related)"	Q15513	1	229304857-229305504	"Predicted intracellular proteins"			
ENSG00000147588	PMP2	"FABP8, M-FABP, MP2"	"Peripheral myelin protein 2"	P02689	8	81440326-81447523	"Predicted intracellular proteins"	Transport		"Charcot-Marie-Tooth disease, Disease mutation, Neurodegeneration, Neuropathy"
ENSG00000125462	C1orf61	CROC4	"Chromosome 1 open reading frame 61"	Q13536	1	156404250-156430701	"Predicted intracellular proteins"			
ENSG00000105605	CACNG7		"Calcium voltage-gated channel auxiliary subunit gamma 7"	P62955	19	53909335-53943941	"Predicted membrane proteins, Transporters"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	
ENSG00000124493	GRM4	"GPRC1D, mGlu4, MGLUR4"	"Glutamate metabotropic receptor 4"	Q14833	6	34018645-34155622	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000162728	KCNJ9	"GIRK3, Kir3.3"	"Potassium voltage-gated channel subfamily J member 9"	Q92806	1	160081570-160090563	"Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	
ENSG00000165566	AMER2	"FAM123A, FLJ25477"	"APC membrane recruitment protein 2"	Q8N7J2	13	25161684-25172288	"Predicted intracellular proteins"	"Wnt signaling pathway"		
